FlightDate,arrTime,DepDelay,TaxiMid,ArrDelay,ElapseTimeMid,AirTime,Distance
2022/1/1,223,160,8,153,-7,112,862
2022/1/1,229,159,18,155,-4,236,1504
2022/1/1,229,127,5,162,35,265,1504
2022/1/1,229,139,16,142,3,221,1391
2022/1/1,231,130,15,135,5,230,1372
2022/1/1,305,143,36,180,37,121,721
2022/1/1,354,251,11,247,-4,96,794
2022/1/1,406,201,17,193,-8,215,1400
2022/1/1,411,-1,6,-14,-13,196,1608
2022/1/1,435,307,7,310,3,95,775
2022/1/1,441,4,8,-7,-11,149,1334
2022/1/1,459,8,9,-12,-20,153,1379
2022/1/1,517,22,29,29,7,194,1660
2022/1/1,527,3,11,-14,-17,186,1635
2022/1/1,542,-5,4,-23,-18,214,1825
2022/1/1,544,19,5,6,-13,128,1055
2022/1/1,549,-4,4,-1,3,147,1222
2022/1/1,604,2,10,-14,-16,221,1874
2022/1/1,608,32,-1,16,-16,143,1235
2022/1/1,608,10,1,-7,-17,160,1379
2022/1/1,615,20,7,10,-10,396,3724
2022/1/1,621,9,5,-12,-21,143,1235
2022/1/1,647,142,11,118,-24,171,1504
2022/1/1,648,-9,12,-17,-8,395,3711
2022/1/1,654,0,4,-11,-11,42,239
2022/1/1,659,-6,7,-16,-10,50,293
2022/1/1,702,13,3,7,-6,69,419
2022/1/1,704,8,11,-2,-10,400,3784
2022/1/1,707,0,-8,-8,-8,43,239
2022/1/1,707,-3,4,-13,-10,82,484
2022/1/1,709,2,6,-6,-8,75,423
2022/1/1,710,-4,4,-15,-11,60,441
2022/1/1,714,-4,4,-16,-12,31,192
2022/1/1,716,4,8,-9,-13,45,216
2022/1/1,717,-6,6,-18,-12,32,189
2022/1/1,717,0,-2,-8,-8,29,148
2022/1/1,718,-5,7,-17,-12,43,247
2022/1/1,719,-7,1,-16,-9,31,187
2022/1/1,720,0,4,-15,-15,91,570
2022/1/1,726,-5,5,-13,-8,151,936
2022/1/1,727,-6,-3,-15,-9,70,447
2022/1/1,727,-6,6,-13,-7,42,277
2022/1/1,730,1,7,5,4,57,238
2022/1/1,734,-3,8,-21,-18,139,957
2022/1/1,734,10,5,-11,-21,127,917
2022/1/1,735,-9,6,-46,-37,70,422
2022/1/1,736,-2,7,6,8,131,687
2022/1/1,737,2,7,-3,-5,80,453
2022/1/1,738,-6,6,-30,-24,131,956
2022/1/1,738,-6,7,-22,-16,141,994
2022/1/1,740,0,20,10,10,81,461
2022/1/1,744,-4,39,19,23,51,323
2022/1/1,746,14,9,1,-13,110,721
2022/1/1,748,-2,7,-23,-21,123,861
2022/1/1,754,-4,11,-6,-2,65,436
2022/1/1,757,-3,-13,2,5,79,580
2022/1/1,800,-5,5,-15,-10,50,341
2022/1/1,803,-5,12,-25,-20,136,966
2022/1/1,803,19,7,8,-11,112,696
2022/1/1,804,-7,2,-36,-29,139,985
2022/1/1,808,-3,12,-20,-17,36,166
2022/1/1,808,-1,-7,3,4,106,623
2022/1/1,808,-4,5,-28,-24,381,3711
2022/1/1,809,0,-7,-11,-11,45,319
2022/1/1,811,-1,6,-22,-21,129,851
2022/1/1,814,11,11,-3,-14,405,3904
2022/1/1,814,-12,1,-28,-16,51,316
2022/1/1,814,0,9,-11,-11,61,496
2022/1/1,816,1,13,-19,-20,206,1400
2022/1/1,817,-3,7,-15,-12,55,305
2022/1/1,818,-2,2,-23,-21,115,657
2022/1/1,819,-1,9,-27,-26,108,689
2022/1/1,820,-4,7,-15,-11,179,1117
2022/1/1,821,-2,10,-24,-22,123,854
2022/1/1,822,-1,6,-19,-18,184,1208
2022/1/1,822,-3,5,-30,-27,146,912
2022/1/1,822,-5,6,-23,-18,136,994
2022/1/1,822,1,9,-18,-19,137,955
2022/1/1,825,-4,12,-19,-15,86,667
2022/1/1,826,1,17,-7,-8,116,787
2022/1/1,827,14,7,-2,-16,172,1201
2022/1/1,827,-3,6,-11,-8,72,444
2022/1/1,829,-1,12,-21,-20,40,224
2022/1/1,830,5,6,-7,-12,185,1235
2022/1/1,830,-1,14,-12,-11,161,1042
2022/1/1,831,-3,11,-4,-1,62,296
2022/1/1,832,-1,12,-13,-12,131,928
2022/1/1,833,-5,8,-11,-6,89,468
2022/1/1,833,-9,9,-10,-1,45,191
2022/1/1,833,-5,9,-7,-2,58,305
2022/1/1,833,6,16,-10,-16,391,3784
2022/1/1,835,2,8,-15,-17,77,489
2022/1/1,835,22,8,-2,-24,119,817
2022/1/1,837,5,1,-8,-13,103,744
2022/1/1,838,7,5,-12,-19,59,280
2022/1/1,839,-4,5,-10,-6,88,429
2022/1/1,843,-5,8,-5,0,129,1009
2022/1/1,844,-2,10,-8,-6,142,994
2022/1/1,845,4,7,-4,-8,82,501
2022/1/1,845,-6,9,-25,-19,140,918
2022/1/1,846,7,8,-9,-16,243,1597
2022/1/1,847,-6,2,-26,-20,71,569
2022/1/1,848,-1,29,8,9,120,883
2022/1/1,849,7,8,-3,-10,146,788
2022/1/1,849,-13,5,-36,-23,66,469
2022/1/1,851,-7,6,-28,-21,158,1102
2022/1/1,852,-5,8,-17,-27,96,597
2022/1/1,852,0,-1,-12,-17,58,435
2022/1/1,852,-9,9,-32,-3,154,846
2022/1/1,853,12,1,5,-7,43,140
2022/1/1,854,0,14,-22,-15,123,854
2022/1/1,854,-9,7,-15,-16,43,247
2022/1/1,854,-4,-2,-25,-32,154,999
2022/1/1,854,-6,4,-36,-16,58,354
2022/1/1,856,-5,16,-17,-12,95,604
2022/1/1,857,16,8,12,-4,184,1075
2022/1/1,857,3,15,2,-1,149,958
2022/1/1,857,-2,4,-8,-6,207,1231
2022/1/1,857,0,5,-13,-13,72,551
2022/1/1,858,16,3,-1,-17,40,190
2022/1/1,859,-5,1,-24,-11,33,148
2022/1/1,859,-2,12,-16,-16,141,925
2022/1/1,859,-10,13,-18,-14,70,528
2022/1/1,900,-4,2,-15,-11,68,461
2022/1/1,901,-4,11,10,14,146,667
2022/1/1,901,4,18,26,22,145,802
2022/1/1,903,1,-1,-21,-22,34,158
2022/1/1,903,8,6,-15,-23,137,929
2022/1/1,904,-3,2,-14,-11,100,583
2022/1/1,905,-4,6,-36,-21,51,309
2022/1/1,905,-8,2,-25,-28,145,868
2022/1/1,907,-1,6,31,32,198,871
2022/1/1,908,4,8,-4,-8,158,1121
2022/1/1,909,-7,7,-24,-17,145,985
2022/1/1,909,-7,4,-20,-13,150,945
2022/1/1,910,37,7,21,-16,42,201
2022/1/1,910,-1,34,16,17,117,643
2022/1/1,910,-5,1,-30,-25,62,359
2022/1/1,910,0,6,-32,-32,181,1158
2022/1/1,911,6,7,-14,-20,35,189
2022/1/1,912,-2,6,-11,-9,152,922
2022/1/1,912,-4,-2,-17,-13,109,868
2022/1/1,913,-2,3,-23,-21,122,767
2022/1/1,913,-2,5,-17,-15,44,216
2022/1/1,914,0,57,42,42,93,517
2022/1/1,914,0,2,-9,-9,176,1067
2022/1/1,915,0,9,-5,-5,96,587
2022/1/1,916,3,-1,-11,-14,170,1061
2022/1/1,917,-2,8,-13,-11,126,816
2022/1/1,918,30,33,-6,11,67,395
2022/1/1,918,22,18,41,-10,142,862
2022/1/1,918,-6,11,12,0,168,931
2022/1/1,919,-4,18,-7,-3,45,247
2022/1/1,919,1,6,-11,-12,140,973
2022/1/1,921,-2,6,-19,-17,73,447
2022/1/1,922,3,11,-3,-6,190,1218
2022/1/1,922,-6,13,-19,-13,123,731
2022/1/1,922,-3,9,-3,0,68,237
2022/1/1,923,-1,13,-19,-18,198,1172
2022/1/1,924,0,18,-1,-1,92,562
2022/1/1,924,-1,9,-6,-5,227,1428
2022/1/1,926,4,10,3,-1,184,1021
2022/1/1,927,13,5,12,-1,191,1184
2022/1/1,928,21,7,38,17,164,919
2022/1/1,928,2,7,-17,-19,123,1055
2022/1/1,929,9,7,-1,-10,102,759
2022/1/1,932,29,4,14,-15,149,1017
2022/1/1,932,-4,10,-18,-14,196,1217
2022/1/1,933,-1,1,1,2,71,304
2022/1/1,933,-1,42,14,15,97,561
2022/1/1,933,-6,11,-1,5,160,852
2022/1/1,934,13,7,4,-9,38,192
2022/1/1,934,10,3,-1,-11,91,546
2022/1/1,934,0,5,9,9,246,1336
2022/1/1,935,-2,7,-15,-13,197,1246
2022/1/1,937,-4,-6,-6,-2,152,936
2022/1/1,937,-2,4,-13,-11,40,190
2022/1/1,939,-2,7,-28,-26,230,1504
2022/1/1,940,-1,10,2,3,86,364
2022/1/1,940,5,3,-3,-8,222,1389
2022/1/1,941,-1,6,4,-8,86,677
2022/1/1,941,-9,27,-9,13,69,383
2022/1/1,943,-2,11,-7,-5,262,1562
2022/1/1,944,6,2,-3,-9,170,1051
2022/1/1,944,17,5,-6,-23,194,1212
2022/1/1,945,-4,26,12,16,155,853
2022/1/1,946,-4,8,7,11,122,685
2022/1/1,946,-1,-2,4,5,137,733
2022/1/1,946,8,9,-2,-10,63,280
2022/1/1,946,2,8,-12,-14,157,1119
2022/1/1,946,-1,5,,-160,,849
2022/1/1,947,8,16,-8,-16,159,1108
2022/1/1,947,137,8,123,-14,163,1121
2022/1/1,950,29,17,56,27,118,862
2022/1/1,950,43,9,24,-19,85,431
2022/1/1,951,-5,47,16,21,37,175
2022/1/1,952,-7,12,2,9,120,691
2022/1/1,952,-10,-6,7,17,137,642
2022/1/1,953,-2,10,-7,-5,155,1032
2022/1/1,955,-5,20,14,19,136,771
2022/1/1,956,62,2,73,11,148,844
2022/1/1,956,0,4,-4,-4,102,623
2022/1/1,957,0,5,7,7,223,1212
2022/1/1,958,2,21,23,21,127,666
2022/1/1,959,5,8,36,31,136,630
2022/1/1,959,58,4,46,-12,115,631
2022/1/1,1000,27,13,26,-1,118,672
2022/1/1,1000,-8,6,-30,-22,39,247
2022/1/1,1001,0,10,1,1,153,1235
2022/1/1,1002,13,19,22,9,139,804
2022/1/1,1003,-5,13,11,16,165,859
2022/1/1,1004,24,1,21,-3,179,1235
2022/1/1,1006,-4,7,-14,-10,133,813
2022/1/1,1006,-1,4,-4,-3,124,756
2022/1/1,1006,14,9,11,-3,53,239
2022/1/1,1007,0,6,-3,-3,118,670
2022/1/1,1008,-5,7,-28,-23,116,657
2022/1/1,1008,-3,10,-22,-19,137,874
2022/1/1,1010,-4,6,27,31,148,692
2022/1/1,1013,9,2,-2,-11,136,966
2022/1/1,1013,16,16,3,-13,145,1246
2022/1/1,1014,-4,5,-26,-22,32,140
2022/1/1,1014,19,19,24,5,148,821
2022/1/1,1015,117,5,97,-20,63,429
2022/1/1,1018,81,14,49,-32,110,705
2022/1/1,1018,-3,1,-28,-25,211,1400
2022/1/1,1018,-4,46,8,12,83,602
2022/1/1,1019,-4,6,-16,-12,109,657
2022/1/1,1020,0,11,-17,-17,184,1208
2022/1/1,1020,32,7,10,-22,121,849
2022/1/1,1021,2,5,-14,-16,124,1090
2022/1/1,1023,-5,4,-15,-10,105,868
2022/1/1,1026,3,18,0,-3,210,1416
2022/1/1,1029,-6,15,-29,-23,134,966
2022/1/1,1031,-7,6,-21,-14,141,1188
2022/1/1,1032,-8,2,-16,-8,35,191
2022/1/1,1032,-3,12,-14,-11,155,1316
2022/1/1,1032,-7,1,-19,-12,74,569
2022/1/1,1033,-3,4,-7,-4,127,755
2022/1/1,1034,1,8,-23,-24,242,1597
2022/1/1,1034,-2,10,4,6,140,822
2022/1/1,1034,-8,5,-21,-13,101,872
2022/1/1,1036,-2,4,-9,-7,124,1020
2022/1/1,1037,-2,8,-27,-25,126,817
2022/1/1,1037,6,8,-3,-9,59,319
2022/1/1,1037,-1,11,-13,-12,71,562
2022/1/1,1038,-1,4,-22,-21,257,2007
2022/1/1,1039,26,34,49,23,144,812
2022/1/1,1039,-5,6,-16,-11,57,323
2022/1/1,1039,34,13,34,0,226,1381
2022/1/1,1039,0,-15,-2,-2,211,1389
2022/1/1,1040,-1,10,-14,-13,130,1126
2022/1/1,1041,-9,14,-6,3,132,1055
2022/1/1,1041,-8,4,-23,-15,39,247
2022/1/1,1043,1217,9,1216,-1,74,551
2022/1/1,1044,-1,4,-17,-16,123,854
2022/1/1,1045,-4,-3,2,6,102,813
2022/1/1,1047,-5,8,-17,-12,144,1222
2022/1/1,1047,21,7,7,-14,141,1200
2022/1/1,1048,-1,4,-6,-5,113,721
2022/1/1,1048,58,-4,62,4,152,985
2022/1/1,1049,-5,9,-19,-14,85,667
2022/1/1,1049,2,10,-24,-26,167,1430
2022/1/1,1049,-7,-15,-15,-8,139,985
2022/1/1,1050,-1,2,-13,-12,160,1360
2022/1/1,1051,-5,5,-29,-24,134,928
2022/1/1,1052,-2,-11,-3,-1,52,302
2022/1/1,1052,4,-4,2,-2,186,1624
2022/1/1,1053,30,8,18,-12,112,721
2022/1/1,1054,-7,-9,-10,-3,26,89
2022/1/1,1054,12,0,-13,-25,138,1235
2022/1/1,1055,5,8,-9,-14,237,1507
2022/1/1,1055,3,6,-20,-23,141,1242
2022/1/1,1056,1,6,-11,-12,171,1091
2022/1/1,1057,-5,-25,7,12,113,787
2022/1/1,1057,-9,5,-23,-14,67,551
2022/1/1,1058,22,10,0,-22,108,689
2022/1/1,1058,6,6,4,-2,57,280
2022/1/1,1058,5,14,3,-2,215,1407
2022/1/1,1059,-2,5,-26,-24,132,1164
2022/1/1,1100,-9,2,-26,-17,136,1235
2022/1/1,1100,1226,6,1240,14,87,431
2022/1/1,1103,-10,9,-31,-21,151,1271
2022/1/1,1103,-9,3,-17,-8,166,1379
2022/1/1,1104,-2,10,-9,-7,34,158
2022/1/1,1104,-5,3,-31,-26,37,216
2022/1/1,1107,-3,17,-7,-4,110,667
2022/1/1,1110,17,2,3,-14,153,1269
2022/1/1,1110,-4,2,-16,-12,154,1119
2022/1/1,1110,0,-1,27,27,279,1562
2022/1/1,1111,717,9,693,-24,90,775
2022/1/1,1112,0,2,-9,-9,170,1431
2022/1/1,1112,44,2,29,-15,64,469
2022/1/1,1112,-5,20,4,9,149,1163
2022/1/1,1113,-1,2,-15,-14,194,1616
2022/1/1,1114,9,9,-1,-10,140,972
2022/1/1,1116,-8,-9,-23,-15,168,1106
2022/1/1,1117,-2,21,8,10,117,936
2022/1/1,1117,-4,1,-3,1,163,1121
2022/1/1,1118,5,-1,-4,-9,41,224
2022/1/1,1118,-1,4,-12,-11,70,444
2022/1/1,1118,1,7,-10,-11,184,1477
2022/1/1,1118,-9,9,-25,-16,126,1090
2022/1/1,1118,8,-4,-4,-12,135,918
2022/1/1,1119,-6,10,-14,-8,131,874
2022/1/1,1120,67,24,83,16,153,925
2022/1/1,1120,28,15,10,-18,121,854
2022/1/1,1121,26,6,21,-5,184,1468
2022/1/1,1121,-5,-3,-12,-7,217,1389
2022/1/1,1122,-1,14,-4,-3,165,1345
2022/1/1,1123,-4,7,119,-18,147,1182
2022/1/1,1123,9,-1,-14,-9,149,936
2022/1/1,1123,-6,21,-22,-3,128,989
2022/1/1,1123,-9,-22,0,-6,140,1017
2022/1/1,1123,-1,4,-9,8,180,986
2022/1/1,1123,25,99,-15,94,80,551
2022/1/1,1123,-9,-2,7,-5,37,229
2022/1/1,1124,-6,-10,-13,-7,35,113
2022/1/1,1125,-1,43,15,16,117,809
2022/1/1,1126,-3,-8,-12,-9,96,604
2022/1/1,1126,0,5,-10,-10,110,868
2022/1/1,1127,-1,-4,-3,-2,46,190
2022/1/1,1128,-4,1,-2,2,36,140
2022/1/1,1128,-7,-4,-17,-10,53,295
2022/1/1,1128,-12,-1,-14,-2,31,134
2022/1/1,1128,-4,15,-2,2,49,224
2022/1/1,1129,-4,0,-3,1,39,140
2022/1/1,1129,-1,-2,-1,0,42,164
2022/1/1,1130,11,17,6,-5,41,191
2022/1/1,1130,24,14,15,-9,109,689
2022/1/1,1130,-5,-8,-13,-8,45,181
2022/1/1,1130,1,4,-15,-16,136,994
2022/1/1,1130,-3,-11,0,3,156,1313
2022/1/1,1130,0,23,10,10,227,1372
2022/1/1,1130,-3,0,-10,-7,111,631
2022/1/1,1130,18,-6,0,-18,154,1089
2022/1/1,1131,-5,21,-4,1,159,1272
2022/1/1,1131,11,3,14,3,143,801
2022/1/1,1131,-5,16,-17,-12,172,1438
2022/1/1,1132,-2,11,3,5,31,102
2022/1/1,1133,-5,8,8,-7,75,583
2022/1/1,1133,-7,1,-12,0,80,496
2022/1/1,1133,15,18,-7,19,93,551
2022/1/1,1133,-9,19,34,17,138,1095
2022/1/1,1134,-7,3,-30,-23,136,1171
2022/1/1,1135,-6,13,-26,-20,140,1242
2022/1/1,1135,57,8,47,-10,46,224
2022/1/1,1135,-6,4,-22,-16,224,1389
2022/1/1,1135,-2,16,-2,0,111,696
2022/1/1,1135,8,4,-5,-13,35,187
2022/1/1,1135,1,21,15,14,192,1192
2022/1/1,1136,0,4,-19,-19,47,282
2022/1/1,1136,1,4,-4,-5,127,1055
2022/1/1,1136,18,9,2,-16,117,731
2022/1/1,1137,8,3,12,4,82,364
2022/1/1,1138,28,39,50,22,257,1597
2022/1/1,1140,10,26,33,23,170,1034
2022/1/1,1140,33,2,22,-11,140,985
2022/1/1,1142,-4,13,-12,-8,165,1405
2022/1/1,1143,56,28,62,6,166,1195
2022/1/1,1143,15,34,32,17,162,984
2022/1/1,1144,32,11,38,6,190,1075
2022/1/1,1144,-3,19,-7,-4,40,190
2022/1/1,1145,-4,10,-20,-16,134,973
2022/1/1,1145,-4,-1,15,19,119,550
2022/1/1,1145,-1,33,-2,-1,170,1320
2022/1/1,1146,0,3,16,16,201,1616
2022/1/1,1146,17,11,6,-11,113,696
2022/1/1,1147,-5,5,-5,0,50,227
2022/1/1,1148,-2,16,0,2,66,354
2022/1/1,1148,-9,0,-16,-7,58,293
2022/1/1,1149,52,2,35,-17,31,158
2022/1/1,1149,-5,14,-26,-21,134,957
2022/1/1,1149,0,15,39,39,187,986
2022/1/1,1150,-2,22,-4,-2,54,312
2022/1/1,1150,-5,-23,13,18,148,1222
2022/1/1,1151,-2,18,-4,-2,148,925
2022/1/1,1152,-3,23,2,5,54,247
2022/1/1,1153,72,44,89,17,92,641
2022/1/1,1154,31,12,28,-3,203,1303
2022/1/1,1156,-10,18,-18,-8,85,517
2022/1/1,1156,13,5,6,-7,203,1642
2022/1/1,1156,71,30,99,28,238,1521
2022/1/1,1157,-2,-3,13,15,73,304
2022/1/1,1159,22,8,9,-13,136,917
2022/1/1,1200,19,28,37,18,145,852
2022/1/1,1200,-1,4,-18,-17,142,964
2022/1/1,1200,-4,44,22,26,38,175
2022/1/1,1201,-10,23,-13,-3,45,229
2022/1/1,1203,-7,27,54,4,47,312
2022/1/1,1203,8,5,-3,-15,154,1216
2022/1/1,1203,72,4,-7,-18,117,1022
2022/1/1,1205,44,62,90,46,126,883
2022/1/1,1206,-5,5,-19,-14,48,319
2022/1/1,1206,-3,11,-14,-11,149,1041
2022/1/1,1207,49,15,39,-10,233,1521
2022/1/1,1207,-9,6,-30,-21,65,482
2022/1/1,1208,79,9,65,-14,30,140
2022/1/1,1209,-5,5,-34,-29,66,551
2022/1/1,1209,-2,2,-21,-19,106,879
2022/1/1,1209,3,5,-11,-14,134,1209
2022/1/1,1211,-8,5,-18,-10,55,396
2022/1/1,1211,4,-3,-10,-14,119,731
2022/1/1,1212,1,32,24,23,62,328
2022/1/1,1212,23,3,12,-11,206,1342
2022/1/1,1212,3,6,-8,-11,40,239
2022/1/1,1213,-7,-23,0,7,123,1055
2022/1/1,1214,166,-1,144,-22,110,685
2022/1/1,1214,6,2,-4,-10,62,351
2022/1/1,1215,-7,-25,8,15,54,285
2022/1/1,1215,-5,5,-17,-12,73,447
2022/1/1,1218,41,2,28,-13,90,592
2022/1/1,1219,6,16,3,-3,74,469
2022/1/1,1220,6,7,-5,-11,64,528
2022/1/1,1221,190,24,193,3,202,1303
2022/1/1,1223,19,15,38,19,211,1236
2022/1/1,1224,0,5,-1,-1,82,528
2022/1/1,1224,-2,12,-11,-9,153,1243
2022/1/1,1224,19,6,14,-5,51,239
2022/1/1,1225,1,6,3,2,194,1149
2022/1/1,1225,-1,-1,-5,-4,104,674
2022/1/1,1227,-7,19,-1,6,187,1476
2022/1/1,1228,10,29,68,58,169,798
2022/1/1,1228,-7,7,-11,-4,85,431
2022/1/1,1230,14,11,10,-4,67,436
2022/1/1,1231,-4,-14,-11,-7,29,158
2022/1/1,1233,-3,12,-12,-9,166,1389
2022/1/1,1235,8,10,-15,-23,134,955
2022/1/1,1235,-7,20,-27,-20,128,1171
2022/1/1,1235,-5,8,-37,-32,127,912
2022/1/1,1236,-5,3,-34,-29,102,630
2022/1/1,1236,-4,4,-31,-27,134,1205
2022/1/1,1236,-1,1,-9,-8,122,1055
2022/1/1,1237,-7,6,-18,-11,37,148
2022/1/1,1237,82,5,62,-20,49,347
2022/1/1,1238,923,4,904,-19,105,631
2022/1/1,1239,4,-1,-18,-22,100,868
2022/1/1,1240,69,7,66,-3,52,247
2022/1/1,1242,807,-14,48,26,102,667
2022/1/1,1242,18,-2,833,3,70,364
2022/1/1,1242,33,7,21,4,190,1209
2022/1/1,1242,40,30,37,27,119,794
2022/1/1,1242,4,57,67,34,91,641
2022/1/1,1242,-6,6,38,-23,144,1231
2022/1/1,1242,-6,7,-29,-16,245,1562
2022/1/1,1242,0,54,-22,48,81,592
2022/1/1,1243,-4,8,-25,-21,99,872
2022/1/1,1243,59,6,41,-18,145,1235
2022/1/1,1244,0,5,-26,-26,119,849
2022/1/1,1244,-5,-4,60,65,186,812
2022/1/1,1246,15,11,13,-2,28,89
2022/1/1,1246,41,4,41,0,144,1211
2022/1/1,1247,-4,38,32,36,176,977
2022/1/1,1248,-4,5,-18,-14,162,1095
2022/1/1,1249,-5,9,-31,-26,114,787
2022/1/1,1249,-6,11,-16,-10,43,247
2022/1/1,1250,49,3,35,-14,67,441
2022/1/1,1250,6,15,10,4,172,1442
2022/1/1,1251,-1,11,-3,-2,74,408
2022/1/1,1251,0,22,-9,-9,158,1108
2022/1/1,1251,2,7,-9,-11,126,1069
2022/1/1,1252,0,7,2,2,192,1282
2022/1/1,1252,-7,3,-36,-29,134,929
2022/1/1,1253,12,5,-2,-14,38,189
2022/1/1,1254,-2,15,-14,-12,153,1303
2022/1/1,1254,-4,8,4,8,159,1001
2022/1/1,1255,105,8,-22,-18,225,1391
2022/1/1,1255,-5,16,87,-17,145,1211
2022/1/1,1257,-7,16,-34,-27,156,1103
2022/1/1,1258,2,3,-12,-14,35,187
2022/1/1,1259,20,13,29,9,49,247
2022/1/1,1259,41,3,24,-17,77,488
2022/1/1,1259,-5,0,-1,4,158,1032
2022/1/1,1301,-2,9,-15,-13,39,191
2022/1/1,1301,-4,7,-14,-10,30,140
2022/1/1,1302,0,4,-17,-17,56,305
2022/1/1,1302,-3,5,-9,-6,132,756
2022/1/1,1302,-5,-13,-3,2,160,1052
2022/1/1,1303,0,-1,0,0,166,986
2022/1/1,1303,10,6,-2,-12,126,1020
2022/1/1,1303,133,8,120,-13,135,964
2022/1/1,1304,0,0,-29,-29,177,1208
2022/1/1,1304,11,4,-11,-22,121,1090
2022/1/1,1305,-11,6,-19,-8,163,1346
2022/1/1,1305,-6,4,-29,-23,39,224
2022/1/1,1307,-6,19,-23,-17,166,1476
2022/1/1,1307,-7,11,-30,-23,117,854
2022/1/1,1307,-9,6,-20,-11,53,224
2022/1/1,1307,-7,3,-18,-11,108,631
2022/1/1,1310,-5,9,-12,-7,39,140
2022/1/1,1310,-1,8,-22,-21,135,1235
2022/1/1,1311,0,12,-6,-6,227,1416
2022/1/1,1311,-7,5,-30,-23,172,1464
2022/1/1,1311,101,11,91,-10,162,1313
2022/1/1,1314,-5,3,-10,-5,185,1172
2022/1/1,1314,36,63,92,56,129,862
2022/1/1,1314,20,6,49,29,182,937
2022/1/1,1316,3,8,-4,-7,77,619
2022/1/1,1317,1,9,-20,-21,220,1400
2022/1/1,1318,-2,35,34,36,167,801
2022/1/1,1319,-1,9,-21,-20,119,861
2022/1/1,1320,12,16,25,13,80,580
2022/1/1,1321,-2,15,-5,-3,33,134
2022/1/1,1322,-3,0,-23,-20,41,247
2022/1/1,1322,-4,12,-12,-8,77,569
2022/1/1,1322,-5,7,-21,-16,124,1055
2022/1/1,1323,4,15,-17,-21,156,1379
2022/1/1,1325,-4,33,23,27,109,775
2022/1/1,1326,0,23,0,0,163,1195
2022/1/1,1326,-4,4,-24,-20,142,1235
2022/1/1,1326,-2,6,-19,-17,197,1660
2022/1/1,1327,-4,4,-16,-12,141,985
2022/1/1,1328,6,5,-11,-17,123,1090
2022/1/1,1329,4,-3,19,15,155,1109
2022/1/1,1329,-5,11,-13,-8,109,868
2022/1/1,1330,-7,11,-21,-14,22,102
2022/1/1,1330,-7,2,-20,-13,135,845
2022/1/1,1331,18,28,16,-2,170,1190
